Year,State,District,Pop_2024_Est,Total_Violence,Crime_Rate,Police_Vacancy_Rate,Spousal_Violence_Percent,Sought_Help_Percent
2021,Gujarat,Mahisagar,2894401,18.0,0.6218903324038376,0.20521524716691156,17.0,1.5
2021,Gujarat,Mehsana,2894401,78.0,2.6948581070832964,0.20521524716691156,17.0,1.5
2021,Gujarat,Morbi,2894401,15.0,0.5182419436698646,0.20521524716691156,17.0,1.5
2021,Gujarat,Narmada,678841,11.0,1.620408902821132,0.20521524716691156,17.0,1.5
2021,Gujarat,Navsari,1529122,11.0,0.7193670616209825,0.20521524716691156,17.0,1.5
2021,Gujarat,Panchmahal,2894401,55.0,1.900220460122837,0.20521524716691156,17.0,1.5
2021,Gujarat,Patan,1545294,49.0,3.1709176376793025,0.20521524716691156,17.0,1.5
2021,Gujarat,Porbandar,673266,8.0,1.1882376356447526,0.20521524716691156,17.0,1.5
2021,Gujarat,Rajkot City,4375241,121.0,2.7655619427592675,0.20521524716691156,17.0,1.5
2021,Gujarat,Rajkot Rural,4375241,81.0,1.8513265897809972,0.20521524716691156,17.0,1.5
2021,Gujarat,Sabarkantha,2894401,75.0,2.5912097183493232,0.20521524716691156,17.0,1.5
2021,Gujarat,Surat City,6993520,330.0,4.71865383955433,0.20521524716691156,17.0,1.5
2021,Gujarat,Surat Rural,6993520,21.0,0.30027797160800285,0.20521524716691156,17.0,1.5
2021,Gujarat,Surendranagar,2019708,25.0,1.2378026922703678,0.20521524716691156,17.0,1.5
2021,Gujarat,Tapi,928075,4.0,0.43099964981278455,0.20521524716691156,17.0,1.5
2021,Gujarat,Vadodara City,4790469,97.0,2.024853933925885,0.20521524716691156,17.0,1.5
2021,Gujarat,Vadodara Rural,4790469,31.0,0.647118267543324,0.20521524716691156,17.0,1.5
2021,Gujarat,Valsad,1961529,24.0,1.223535313523277,0.20521524716691156,17.0,1.5
2021,Gujarat,W.Rly Ahmedabad,2894401,1.0,0.03454946291132431,0.20521524716691156,17.0,1.5
2021,Gujarat,W.Rly Vadodara,2894401,2.0,0.06909892582264862,0.20521524716691156,17.0,1.5
2021,Gujarat,Cyber Ahmedabad Range,2894401,0.0,0.0,0.20521524716691156,17.0,1.5
2021,Gujarat,Cyber Bhavnagar Range,2894401,0.0,0.0,0.20521524716691156,17.0,1.5
2021,Gujarat,Cyber Border Range,2894401,0.0,0.0,0.20521524716691156,17.0,1.5
2021,Gujarat,Cyber Gandhinagar Range,2894401,0.0,0.0,0.20521524716691156,17.0,1.5
2021,Gujarat,Cyber Junagadh Range,2894401,0.0,0.0,0.20521524716691156,17.0,1.5
2021,Gujarat,Cyber Panchmahal Range,2894401,0.0,0.0,0.20521524716691156,17.0,1.5
2021,Gujarat,Cyber Rajkot Range,2894401,0.0,0.0,0.20521524716691156,17.0,1.5
2021,Gujarat,Cyber Surat Range,2894401,0.0,0.0,0.20521524716691156,17.0,1.5
2021,Gujarat,Cyber Vadodara Range,2894401,0.0,0.0,0.20521524716691156,17.0,1.5
2021,Gujarat,Total Districts ,2894401,2871.0,99.1915080184121,0.20521524716691156,17.0,1.5
2021,Haryana,Ambala,1297602,321.0,24.737939676418502,0.1847177848775293,21.6,4.9
2021,Haryana,Bhiwani,1879611,470.0,25.005173942906275,0.1847177848775293,21.6,4.9
2021,Haryana,Faridabad,2081192,631.0,30.3191632487536,0.1847177848775293,21.6,4.9
2021,Haryana,Fatehabad,1083312,159.0,14.677212105099915,0.1847177848775293,21.6,4.9
2021,Haryana,GRP,1358470,3.0,0.2208366765552423,0.1847177848775293,21.6,4.9
2021,Haryana,Gurugram,1358470,589.0,43.3576008303459,0.1847177848775293,21.6,4.9
2021,Haryana,Hissar,1358470,416.0,30.62268581566026,0.1847177848775293,21.6,4.9
2021,Haryana,Jhajjar,1102165,406.0,36.83658980279723,0.1847177848775293,21.6,4.9
2021,Haryana,Jind,1534274,227.0,14.795271248812142,0.1847177848775293,21.6,4.9
2021,Haryana,Kaithal,1235449,216.0,17.48352218505175,0.1847177848775293,21.6,4.9
2021,Haryana,Karnal,1731122,502.0,28.998533898824004,0.1847177848775293,21.6,4.9
2021,Haryana,Kurukshetra,1109353,346.0,31.189350909944807,0.1847177848775293,21.6,4.9
2021,Haryana,Mahendergarh,1358470,160.0,11.777956082946256,0.1847177848775293,21.6,4.9
2021,Haryana,Nuh,1358470,195.0,14.35438397609075,0.1847177848775293,21.6,4.9
2021,Haryana,Palwal,1199114,348.0,29.021427487294787,0.1847177848775293,21.6,4.9
2021,Haryana,Panchkula,645486,193.0,29.89995135448329,0.1847177848775293,21.6,4.9
2021,Haryana,Panipat,1386252,530.0,38.23258686010912,0.1847177848775293,21.6,4.9
2021,Haryana,Rewari,1035381,201.0,19.413143567440393,0.1847177848775293,21.6,4.9
2021,Haryana,Rohtak,1220384,333.0,27.28649343157564,0.1847177848775293,21.6,4.9
2021,Haryana,Sirsa,1489467,302.0,20.275709364490787,0.1847177848775293,21.6,4.9
2021,Haryana,Sonipat,1667501,550.0,32.983488465674085,0.1847177848775293,21.6,4.9
2021,Haryana,Yamunanagar,1396335,426.0,30.50843816132948,0.1847177848775293,21.6,4.9
2021,Haryana,Irrigation & Power,1358470,0.0,0.0,0.1847177848775293,21.6,4.9
