Year,State,District,spousal_violence_pct,sought_help_pct,justice_gap,gap_severity,crime_rate,police_vacancy_rate
2022,Bihar,Sitamarhi,40.0,3.5,36.5,HIGH GAP,4.85,0.33
2022,Bihar,Siwan,40.0,3.5,36.5,HIGH GAP,2.06,0.33
2022,Bihar,Supaul,40.0,3.5,36.5,HIGH GAP,1.48,0.33
2022,Bihar,Vaishali,40.0,3.5,36.5,HIGH GAP,3.04,0.33
2022,Bihar,Economic Offences Unit,40.0,3.5,36.5,HIGH GAP,0.0,0.33
2022,Bihar,Anti Terrorist Squad,40.0,3.5,36.5,HIGH GAP,0.0,0.33
2022,Bihar,Total Districts ,40.0,3.5,36.5,HIGH GAP,123.59,0.33
2023,Bihar,Araria,40.0,3.5,36.5,HIGH GAP,4.14,0.33
2023,Bihar,Arwal,40.0,3.5,36.5,HIGH GAP,6.45,0.33
2023,Bihar,Aurangabad,40.0,3.5,36.5,HIGH GAP,2.43,0.33
2023,Bihar,Aurangabad,40.0,3.5,36.5,HIGH GAP,1.67,0.33
2023,Bihar,Bagaha,40.0,3.5,36.5,HIGH GAP,1.66,0.33
2023,Bihar,Banka,40.0,3.5,36.5,HIGH GAP,2.56,0.33
2023,Bihar,Begusarai,40.0,3.5,36.5,HIGH GAP,2.49,0.33
2023,Bihar,Bettiah,40.0,3.5,36.5,HIGH GAP,3.85,0.33
2023,Bihar,Kaimur(Bhabhua),40.0,3.5,36.5,HIGH GAP,3.37,0.33
2023,Bihar,Bhagalpur,40.0,3.5,36.5,HIGH GAP,3.38,0.33
2023,Bihar,Bhojpur,40.0,3.5,36.5,HIGH GAP,2.96,0.33
2023,Bihar,Buxar,40.0,3.5,36.5,HIGH GAP,3.21,0.33
2023,Bihar,Darbhanga,40.0,3.5,36.5,HIGH GAP,1.92,0.33
2023,Bihar,Gaya,40.0,3.5,36.5,HIGH GAP,4.24,0.33
2023,Bihar,Gopalganj,40.0,3.5,36.5,HIGH GAP,2.61,0.33
2023,Bihar,Jamalpur Railway,40.0,3.5,36.5,HIGH GAP,0.0,0.33
2023,Bihar,Jamui,40.0,3.5,36.5,HIGH GAP,3.56,0.33
2023,Bihar,Jehanabad,40.0,3.5,36.5,HIGH GAP,4.71,0.33
2023,Bihar,Katihar,40.0,3.5,36.5,HIGH GAP,2.44,0.33
2023,Bihar,Katihar Railway,40.0,3.5,36.5,HIGH GAP,0.03,0.33
2023,Bihar,Khagaria,40.0,3.5,36.5,HIGH GAP,3.34,0.33
2023,Bihar,Kishanganj,40.0,3.5,36.5,HIGH GAP,3.5,0.33
2023,Bihar,Lakhisarai,40.0,3.5,36.5,HIGH GAP,4.6,0.33
2023,Bihar,Madhepura,40.0,3.5,36.5,HIGH GAP,2.74,0.33
2023,Bihar,Madhubani,40.0,3.5,36.5,HIGH GAP,1.82,0.33
2023,Bihar,Motihari,40.0,3.5,36.5,HIGH GAP,7.01,0.33
2023,Bihar,Munger,40.0,3.5,36.5,HIGH GAP,3.81,0.33
2023,Bihar,Muzaffarpur,40.0,3.5,36.5,HIGH GAP,3.57,0.33
2023,Bihar,Muzaffarpur Railway,40.0,3.5,36.5,HIGH GAP,0.0,0.33
2023,Bihar,Nalanda,40.0,3.5,36.5,HIGH GAP,4.14,0.33
2023,Bihar,Naugachia,40.0,3.5,36.5,HIGH GAP,1.21,0.33
2023,Bihar,Nawadah,40.0,3.5,36.5,HIGH GAP,2.28,0.33
2023,Bihar,Patna,40.0,3.5,36.5,HIGH GAP,6.69,0.33
2023,Bihar,Patna Railway,40.0,3.5,36.5,HIGH GAP,0.0,0.33
2023,Bihar,Purnea,40.0,3.5,36.5,HIGH GAP,4.89,0.33
2023,Bihar,Rohtas,40.0,3.5,36.5,HIGH GAP,3.44,0.33
2023,Bihar,Saharsa,40.0,3.5,36.5,HIGH GAP,1.97,0.33
2023,Bihar,Samastipur,40.0,3.5,36.5,HIGH GAP,2.35,0.33
2023,Bihar,Saran,40.0,3.5,36.5,HIGH GAP,3.34,0.33
2023,Bihar,Sheikhpura,40.0,3.5,36.5,HIGH GAP,2.87,0.33
2023,Bihar,Sheohar,40.0,3.5,36.5,HIGH GAP,2.25,0.33
2023,Bihar,Sitamarhi,40.0,3.5,36.5,HIGH GAP,4.37,0.33
2023,Bihar,Siwan,40.0,3.5,36.5,HIGH GAP,2.38,0.33
2023,Bihar,Supaul,40.0,3.5,36.5,HIGH GAP,1.68,0.33
2023,Bihar,Vaishali,40.0,3.5,36.5,HIGH GAP,3.66,0.33
2023,Bihar,Economic Offences Unit,40.0,3.5,36.5,HIGH GAP,0.0,0.33
2023,Bihar,Anti Terrorist Squad,40.0,3.5,36.5,HIGH GAP,0.0,0.33
2023,Bihar,Total Districts ,40.0,3.5,36.5,HIGH GAP,133.15,0.33
2024,Bihar,Araria,40.0,3.5,36.5,HIGH GAP,2.85,0.33
2024,Bihar,Arwal,40.0,3.5,36.5,HIGH GAP,1.74,0.33
2024,Bihar,Aurangabad,40.0,3.5,36.5,HIGH GAP,1.57,0.33
2024,Bihar,Aurangabad,40.0,3.5,36.5,HIGH GAP,1.08,0.33
