Year,prev_year,State,District,current_crime_rate,prev_crime_rate,yoy_absolute_change,yoy_percent_change,trend_direction
2022,2021,Odisha,Sundargarh,8.39,4.65,3.74,80.34,STABLE
2024,2023,Odisha,DCP BBSR,9.28,5.55,3.73,67.1,STABLE
2024,2023,Meghalaya,Ri-Bhoi,7.39,3.7,3.69,99.98,STABLE
2022,2021,Rajasthan,Jaipur East,17.95,14.28,3.67,25.66,STABLE
2022,2021,Maharashtra,Jalna,24.99,21.35,3.64,17.05,STABLE
2022,2021,Haryana,Sirsa,23.9,20.28,3.62,17.88,STABLE
2022,2021,Rajasthan,Kota City,26.74,23.13,3.61,15.6,STABLE
2023,2022,Uttar Pradesh,Varanasi Commissionarate,22.1,18.5,3.6,19.46,STABLE
2022,2021,Rajasthan,Bharatpur,44.87,41.29,3.58,8.68,STABLE
2022,2021,Uttar Pradesh,Mainpuri,11.91,8.33,3.58,42.97,STABLE
2023,2022,Telangana,Khammam Commissionerate,12.0,8.45,3.55,42.04,STABLE
2023,2022,Uttar Pradesh,Azamgarh,12.1,8.56,3.54,41.42,STABLE
2024,2023,Arunachal Pradesh,Kameng West,6.18,2.65,3.53,133.2,STABLE
2023,2022,Odisha,Dhenkanal,15.16,11.66,3.5,29.97,STABLE
2022,2021,Rajasthan,Dholpur,20.36,16.86,3.5,20.76,STABLE
2022,2021,Rajasthan,Sikar,28.61,25.11,3.5,13.96,STABLE
2022,2021,Arunachal Pradesh,Tawang,3.48,0.0,3.48,,STABLE
2024,2023,Arunachal Pradesh,Tawang,3.48,0.0,3.48,,STABLE
2022,2021,Karnataka,Bengaluru District,10.31,6.83,3.48,50.86,STABLE
2022,2021,Maharashtra,Pimpri Chinchwad City,13.02,9.54,3.48,36.48,STABLE
2023,2022,Odisha,Jajpur,20.51,17.03,3.48,20.46,STABLE
2022,2021,Kerala,Kollam Commr.,13.25,9.81,3.44,35.07,STABLE
2024,2023,Jammu & Kashmir,Ramban,10.42,7.05,3.37,47.81,STABLE
2022,2021,Uttar Pradesh,Aligarh,24.4,21.04,3.36,15.96,STABLE
2022,2021,Andhra Pradesh,Vizianagaram,13.06,9.72,3.34,34.4,STABLE
2024,2023,Chhattisgarh,Raigarh,6.17,2.84,3.33,117.34,STABLE
2022,2021,Maharashtra,Nasik Rural,20.07,16.74,3.33,19.9,STABLE
2022,2021,Maharashtra,Yavatmal,14.62,11.29,3.33,29.48,STABLE
2023,2022,Madhya Pradesh,Datia,16.47,13.15,3.32,25.22,STABLE
2022,2021,Madhya Pradesh,Dhar,14.56,11.34,3.22,28.42,STABLE
2022,2021,Uttar Pradesh,Agra,18.83,15.61,3.22,20.66,STABLE
2024,2023,Chandigarh,Total Districts ,12.44,9.23,3.21,34.81,STABLE
2022,2021,Rajasthan,Jodhpur West,12.59,9.38,3.21,34.29,STABLE
2024,2023,D&N Haveli and Daman & Diu,Daman,3.64,0.45,3.19,700.25,STABLE
2024,2023,Himachal Pradesh,Bilaspur,4.33,1.14,3.19,278.96,STABLE
2022,2021,Jammu & Kashmir,Doda,12.94,9.76,3.18,32.61,STABLE
2022,2021,Uttar Pradesh,Azamgarh,8.56,5.39,3.17,58.81,STABLE
2024,2023,Chhattisgarh,Narayanpur,8.71,5.6,3.11,55.61,STABLE
2022,2021,Assam,Goalpara,21.3,18.2,3.1,17.04,STABLE
2023,2022,Himachal Pradesh,Kinnaur,9.3,6.2,3.1,49.95,STABLE
2022,2021,Uttarakhand,Tehri Garhwal,4.21,1.12,3.09,274.57,STABLE
2022,2021,Madhya Pradesh,Sidhi,12.42,9.34,3.08,33.04,STABLE
2022,2021,Odisha,Nayagarh,10.48,7.41,3.07,41.51,STABLE
2024,2023,Mizoram,Aizawl,5.87,2.82,3.05,107.87,STABLE
2024,2023,Himachal Pradesh,Chamba,5.7,2.68,3.02,112.66,STABLE
2022,2021,Rajasthan,Jodhpur East,13.0,9.98,3.02,30.27,STABLE
2023,2022,Jammu & Kashmir,Kishtwar,6.78,3.77,3.01,79.87,STABLE
2022,2021,Andhra Pradesh,East Godavari,11.81,8.82,2.99,33.85,STABLE
2023,2022,Bihar,Arwal,6.45,3.47,2.98,85.66,STABLE
2023,2022,Uttar Pradesh,Kushi Nagar,7.71,4.73,2.98,62.99,STABLE
2022,2021,Madhya Pradesh,Umaria,11.19,8.23,2.96,36.02,STABLE
2024,2023,Jammu & Kashmir,Poonch,6.96,4.04,2.92,72.41,STABLE
2022,2021,Punjab,Fatehgarh Sahib,8.26,5.36,2.9,54.08,STABLE
2023,2022,Telangana,Warangal Commissionerate,20.95,18.05,2.9,16.06,STABLE
2023,2022,Uttar Pradesh,Kaushambi,9.73,6.85,2.88,42.05,STABLE
2024,2023,Jharkhand,Latehar,9.81,6.94,2.87,41.4,STABLE
2022,2021,Madhya Pradesh,Rewa,12.06,9.19,2.87,31.21,STABLE
2023,2022,Odisha,Khurda,10.62,7.75,2.87,37.02,STABLE
2023,2022,Punjab,CP Amritsar,7.42,4.57,2.85,62.23,STABLE
2023,2022,West Bengal,Dakshin Dinajpur,12.97,10.12,2.85,28.22,STABLE
2023,2022,Jammu & Kashmir,Srinagar,8.65,5.84,2.81,48.23,STABLE
2024,2023,Jharkhand,Pakur,8.11,5.31,2.8,52.69,STABLE
2023,2022,Maharashtra,Akola,16.25,13.47,2.78,20.63,STABLE
2022,2021,Jammu & Kashmir,Reasi,6.08,3.32,2.76,83.35,STABLE
2024,2023,Chhattisgarh,Kondagaon,3.29,0.58,2.71,464.01,STABLE
2022,2021,Telangana,Nizamabad Commissionerate,10.42,7.74,2.68,34.55,STABLE
2022,2021,Uttar Pradesh,Firozabad,19.77,17.09,2.68,15.68,STABLE
2022,2021,Arunachal Pradesh,Kameng East,7.07,4.42,2.65,60.07,STABLE
2024,2023,Arunachal Pradesh,Siang Upper,3.53,0.88,2.65,299.6,STABLE
2023,2022,Haryana,Mahendergarh,13.03,10.38,2.65,25.54,STABLE
2023,2022,Telangana,Jagityal,10.39,7.74,2.65,34.16,STABLE
2022,2021,Maharashtra,Chandrapur,9.66,7.02,2.64,37.57,STABLE
2022,2021,Jharkhand,Khunti,6.87,4.25,2.62,61.62,STABLE
2023,2022,Odisha,Kendrapara,17.39,14.79,2.6,17.57,STABLE
2023,2022,Haryana,Faridabad,31.23,28.64,2.59,9.05,STABLE
2024,2023,Nagaland,Kohima,3.24,0.65,2.59,399.26,STABLE
2022,2021,Haryana,Yamunanagar,33.09,30.51,2.58,8.46,STABLE
2023,2022,West Bengal,Murshidabad Police District,36.93,34.35,2.58,7.52,STABLE
2022,2021,Uttar Pradesh,Sonbhadra,7.66,5.09,2.57,50.53,STABLE
2022,2021,Delhi,South-West,29.94,27.39,2.55,9.32,STABLE
2023,2022,Madhya Pradesh,Jhabua,7.97,5.43,2.54,46.8,STABLE
2023,2022,Rajasthan,Jaipur North,19.31,16.78,2.53,15.08,STABLE
2023,2022,Uttar Pradesh,Jalaun,9.72,7.2,2.52,34.93,STABLE
2022,2021,Karnataka,Koppal,6.76,4.25,2.51,58.9,STABLE
2022,2021,Rajasthan,Sirohi,29.28,26.77,2.51,9.39,STABLE
